Date,Open,High,Low,Close,Volume
12/30/2021,"37.75","40.00","37.50","38.83","6,247,528"
12/29/2021,"36.96","38.87","35.54","38.48","8,149,624"
12/28/2021,"36.88","39.35","36.60","36.62","5,337,888"
12/27/2021,"38.00","38.16","35.00","37.08","6,461,796"
12/23/2021,"38.50","38.75","36.51","38.04","4,222,156"
12/22/2021,"39.58","39.79","38.03","38.50","4,188,616"
12/21/2021,"39.27","40.06","38.79","39.53","5,720,952"
12/20/2021,"38.30","39.92","37.43","39.29","7,314,244"
12/17/2021,"35.94","39.64","34.83","38.91","17,246,480"
12/16/2021,"38.23","38.61","35.53","36.15","8,659,048"
12/15/2021,"36.87","38.00","35.28","37.15","11,063,968"
12/14/2021,"32.75","37.59","32.38","36.92","26,048,532"
12/13/2021,"40.08","40.22","33.77","34.22","21,944,804"
12/10/2021,"39.96","40.58","37.00","39.75","18,107,440"
12/09/2021,"41.75","43.17","37.75","38.94","20,337,360"
12/08/2021,"44.15","45.06","42.99","43.41","10,444,780"
12/07/2021,"43.80","45.50","42.63","44.45","7,889,580"
12/06/2021,"41.50","43.34","40.80","41.78","8,914,544"
12/03/2021,"45.25","45.98","39.76","43.10","16,386,752"
12/02/2021,"46.25","46.86","43.27","45.39","8,348,400"
12/01/2021,"49.85","50.03","44.25","44.96","9,422,140"
11/30/2021,"50.03","50.99","47.00","49.05","6,895,796"
11/29/2021,"51.00","51.98","50.24","50.50","4,435,376"
11/26/2021,"52.02","52.93","49.80","49.93","4,941,108"
11/24/2021,"54.31","56.00","52.00","52.95","5,237,552"
11/23/2021,"60.96","63.05","53.14","53.48","13,406,544"
11/22/2021,"57.62","62.41","57.44","61.89","17,518,416"
11/19/2021,"52.29","57.35","52.06","57.20","12,174,880"
11/18/2021,"52.56","53.78","51.88","52.53","4,023,100"
11/17/2021,"51.58","54.43","51.50","52.50","5,410,856"
11/16/2021,"52.26","53.14","50.91","51.80","4,858,384"
11/15/2021,"50.97","52.88","50.42","52.29","5,865,696"
11/12/2021,"50.54","51.34","49.47","50.53","3,711,964"
11/11/2021,"50.00","52.02","49.54","51.08","4,317,604"
11/10/2021,"50.53","51.85","49.13","49.80","5,237,556"
11/09/2021,"55.50","55.87","51.11","51.65","7,381,192"
11/08/2021,"53.13","56.26","53.00","54.66","8,631,648"
11/05/2021,"55.16","55.25","52.25","53.31","7,242,868"
11/04/2021,"55.50","57.24","52.89","54.46","11,631,904"
11/03/2021,"53.50","63.92","52.06","54.58","45,062,360"
11/02/2021,"49.84","52.98","47.92","51.75","15,529,344"
11/01/2021,"45.63","52.14","45.51","50.02","19,776,812"
10/29/2021,"45.70","46.44","44.50","45.88","9,175,880"
10/28/2021,"43.79","45.79","43.75","45.71","6,784,824"
10/27/2021,"45.00","45.77","43.08","43.38","4,427,992"
10/26/2021,"43.34","46.25","43.13","44.46","8,706,996"
10/25/2021,"42.36","43.70","41.82","43.49","5,771,224"
10/22/2021,"44.53","44.87","41.95","42.45","11,201,772"
10/21/2021,"46.18","47.67","45.15","45.43","9,609,472"
10/20/2021,"46.58","47.00","45.50","46.13","9,107,612"
10/19/2021,"47.25","48.05","46.10","46.70","8,282,472"
10/18/2021,"45.74","47.47","45.64","46.51","6,358,592"
10/15/2021,"46.00","46.75","45.22","45.82","4,799,908"
10/14/2021,"45.94","47.55","45.65","45.96","6,704,032"
10/13/2021,"44.58","47.05","44.00","46.02","7,720,956"
10/12/2021,"45.13","45.45","43.45","43.96","4,934,608"
10/11/2021,"43.25","47.12","43.25","44.53","10,739,420"
10/08/2021,"43.13","43.93","42.78","43.17","3,272,828"
10/07/2021,"43.00","43.80","42.64","43.03","4,637,304"
10/06/2021,"42.52","43.24","41.45","42.77","4,801,280"
10/05/2021,"42.80","43.29","41.68","43.05","5,263,416"
10/04/2021,"43.99","44.24","42.69","42.84","4,782,952"
10/01/2021,"44.85","44.87","43.06","44.23","6,204,556"
09/30/2021,"43.75","46.36","41.70","43.87","12,709,812"
09/29/2021,"45.02","46.12","43.65","43.98","7,599,732"
09/28/2021,"47.00","47.70","44.50","44.65","7,081,972"
09/27/2021,"46.48","48.01","46.47","47.37","5,880,584"
09/24/2021,"47.75","47.93","46.03","46.29","6,743,036"
09/23/2021,"48.08","48.94","47.65","47.81","6,729,036"
09/22/2021,"47.41","48.38","46.57","47.54","9,026,372"
09/21/2021,"49.84","49.84","46.50","47.49","10,535,308"
09/20/2021,"50.00","50.71","46.14","48.05","15,767,208"
09/17/2021,"52.01","53.12","50.20","51.24","15,802,572"
09/16/2021,"50.58","54.14","50.29","51.59","12,232,868"
09/15/2021,"49.25","51.22","48.44","51.13","9,241,628"
09/14/2021,"50.16","51.16","48.75","49.81","8,566,524"
09/13/2021,"48.44","52.22","47.88","50.85","17,336,272"
09/10/2021,"49.60","50.54","47.50","47.60","12,170,592"
09/09/2021,"45.02","50.50","44.50","49.80","30,045,832"
09/08/2021,"50.47","51.72","47.67","49.70","20,694,264"
09/07/2021,"51.56","52.48","49.03","49.75","10,004,712"
09/03/2021,"53.01","54.07","49.71","50.69","10,656,020"
09/02/2021,"53.47","53.70","51.58","53.38","7,422,472"
09/01/2021,"56.00","57.86","52.01","53.24","17,815,128"
08/31/2021,"53.18","55.58","52.87","54.56","14,298,748"
08/30/2021,"51.25","54.55","50.76","52.30","13,238,336"
08/27/2021,"51.93","53.25","50.01","51.24","12,923,216"
08/26/2021,"50.17","54.25","49.75","51.31","24,954,588"
08/25/2021,"51.66","56.75","48.25","49.91","51,444,240"
08/24/2021,"41.57","56.25","41.29","52.57","58,608,840"
08/23/2021,"40.60","41.82","39.89","41.22","5,372,128"
08/20/2021,"38.45","40.02","38.31","39.83","4,619,432"
08/19/2021,"39.19","39.50","37.70","38.23","4,786,192"
08/18/2021,"40.81","41.40","39.19","39.26","5,647,368"
08/17/2021,"40.30","42.37","40.28","40.89","4,863,752"
08/16/2021,"40.25","42.47","39.79","40.98","6,299,508"
08/13/2021,"40.12","40.89","39.35","40.63","4,059,004"
08/12/2021,"39.97","41.07","39.33","40.59","5,279,328"
08/11/2021,"39.61","39.76","38.66","39.70","3,781,712"
08/10/2021,"40.34","41.72","38.84","39.76","6,493,336"
08/09/2021,"37.95","41.18","37.67","40.28","8,996,816"
08/06/2021,"38.65","39.13","37.58","37.94","5,410,756"
08/05/2021,"37.00","39.40","36.31","38.36","9,648,492"
08/04/2021,"38.18","39.45","36.42","36.70","9,573,936"
08/03/2021,"39.19","39.72","37.05","38.19","57,802,480"
08/02/2021,"40.50","40.90","38.77","39.41","10,131,724"
